SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC(=C)C=C,3,11,2,0.18181818181818182,0,3,0
C=CC=CC(=C)C=C,4,30,5,0.16666666666666666,0,4,0
C=CC(=C)C=CC(=C)C=C,5,22,2,0.09090909090909091,0,5,0
C=CC=C(C=C)C=CC(=C)C=C,6,60,3,0.05,0,6,0
C=CC=CC(=C)C=CC(C=C)=CC=C,7,83,2,0.024096385542168676,0,7,0
C=CC=C(C=C)C=Cc1ccccc1,8,62,1,0.016129032258064516,1,7,0
C(=Cc1ccccc1)c1ccccc1,9,24,0,0.0,2,7,0
