SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC(=C)C=C,3,11,4,0.36363636363636365,0,3,0
C=C1C=CC=C1,4,10,3,0.3,1,3,0
C=CC=C1C=CC=C1,5,19,6,0.3157894736842105,1,4,0
C=CC(C=C)=C1C=CC=C1,6,17,5,0.29411764705882354,1,5,0
C=CC1=C2C=CC=C2C=C1,7,31,4,0.12903225806451613,2,5,0
C=CC1=CC=C2C=CC(C=C)=C12,8,39,4,0.10256410256410256,2,6,0
C=CC=CC1=CC=C2C=CC(C=C)=C12,9,59,3,0.05084745762711865,2,7,0
C=CC=CC1=CC=C2C=CC(C=CC=C)=C12,10,79,2,0.02531645569620253,2,8,0
C=CC=CC1=CC=C2C=c3ccccc3=C12,11,70,1,0.014285714285714285,3,8,0
C1=C2C=c3ccccc3=C2c2ccccc21,12,53,0,0.0,4,8,0
