SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,1,0.3333333333333333,0,0,0
C=C,1,4,1,0.25,0,1,0
C=CC=C,2,10,1,0.1,0,2,0
C=CC=CC=C,3,18,1,0.05555555555555555,0,3,0
C=CC=CC=CC=C,4,28,1,0.03571428571428571,0,4,0
C=CC=CC=CC=CC=C,5,40,1,0.025,0,5,0
C=CC=CC=CC=CC=CC=C,6,54,1,0.018518518518518517,0,6,0
C=CC=CC=CC=CC=CC=CC=C,7,70,1,0.014285714285714285,0,7,0
C=CC=CC=CC=CC=CC=CC=CC=C,8,88,1,0.011363636363636364,0,8,0
C=CC=CC=CC=CC=CC=CC=CC=CC=C,9,108,1,0.009259259259259259,0,9,0
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,10,130,1,0.007692307692307693,0,10,0
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,11,154,1,0.006493506493506494,0,11,0
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,12,180,0,0.0,0,12,0
