SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,1,0.16666666666666666,0,2,0
C=CC=CC=C,3,12,1,0.08333333333333333,0,3,0
C=CC=CC=CC=C,4,20,1,0.05,0,4,0
C=CC=CC=CC=CC=C,5,30,1,0.03333333333333333,0,5,0
C=CC=CC=CC=CC=CC=C,6,42,1,0.023809523809523808,0,6,0
C=CC=CC=CC=CC=CC=CC=C,7,56,1,0.017857142857142856,0,7,0
C=CC=CC=CC=CC=CC=CC=CC=C,8,72,1,0.013888888888888888,0,8,0
C=CC=CC=CC=CC=CC=CC=CC=CC=C,9,90,1,0.011111111111111112,0,9,0
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,10,110,1,0.00909090909090909,0,10,0
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,11,132,1,0.007575757575757576,0,11,0
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,12,156,0,0.0,0,12,0
