SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,1,0.3333333333333333,0,0,0
C=C,1,4,1,0.25,0,1,0
C=CC=C,2,10,1,0.1,0,2,0
C=CC(=C)C=C,3,16,1,0.0625,0,3,0
C=CC(=C)C(=C)C=C,4,20,1,0.05,0,4,0
C=CC(=C)C(=C)C(=C)C=C,5,26,1,0.038461538461538464,0,5,0
C=CC(=C)C(=C)C(=C)C(=C)C=C,6,31,1,0.03225806451612903,0,6,0
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C=C,7,38,1,0.02631578947368421,0,7,0
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,8,44,1,0.022727272727272728,0,8,0
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,9,52,1,0.019230769230769232,0,9,0
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,10,59,1,0.01694915254237288,0,10,0
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,11,68,1,0.014705882352941176,0,11,0
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,12,76,0,0.0,0,12,0
