SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,1,0.16666666666666666,0,2,0
C=CC(=C)C=C,3,11,1,0.09090909090909091,0,3,0
C=CC(=C)C(=C)C=C,4,14,1,0.07142857142857142,0,4,0
C=CC(=C)C(=C)C(=C)C=C,5,19,1,0.05263157894736842,0,5,0
C=CC(=C)C(=C)C(=C)C(=C)C=C,6,23,1,0.043478260869565216,0,6,0
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C=C,7,29,1,0.034482758620689655,0,7,0
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,8,34,1,0.029411764705882353,0,8,0
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,9,41,1,0.024390243902439025,0,9,0
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,10,47,1,0.02127659574468085,0,10,0
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,11,55,1,0.01818181818181818,0,11,0
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,12,62,0,0.0,0,12,0
