SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,2,1,0.5,0,0,0
C=C,1,2,1,0.5,0,1,0
C=CC=C,2,6,2,0.3333333333333333,0,2,0
C=CC(=C)C=C,3,11,3,0.2727272727272727,0,3,0
C=CC(=C)C(=C)C=C,4,14,4,0.2857142857142857,0,4,0
C=c1ccccc1=C,5,13,3,0.23076923076923078,1,4,0
C=Cc1cccc(=C)c1=C,6,32,7,0.21875,1,5,0
C=Cc1cc(C=C)c(=C)c(=C)c1,7,42,7,0.16666666666666666,1,6,0
C=CC=c1cc(C=C)cc(C=C)c1=C,8,61,7,0.11475409836065574,1,7,0
C=CC=c1cc(C=C)cc(C=C)c1=CC=C,9,84,6,0.07142857142857142,1,8,0
C=CC=c1cc(C=C)c(C=C)c(C=C)c1=CC=C,10,97,5,0.05154639175257732,1,9,0
C=CC=c1c(C=C)c(C=C)c(C=C)c(C=C)c1=CC=C,11,59,2,0.03389830508474576,1,10,0
C=CC=c1c(C=C)c(C=C)c(C=C)c2c(=C)cccc12,12,97,3,0.030927835051546393,2,10,0
C=Cc1c(C=C)c2c(=C)cccc2c2cccc(=C)c12,13,45,1,0.022222222222222223,3,10,0
C=Cc1c2cccc3cccc(c4cccc(=C)c14)c32,14,83,1,0.012048192771084338,4,10,0
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,15,25,0,0.0,5,10,0
