smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51,total,obj_computation_time,history_data
C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,0,783,0.8656716417910447,0.8656716417910447,0.0007116794586181641,C
C=CCC(CC)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,1,242,0.7160493827160493,0.7160493827160493,0.0008521080017089844,
C=c1c2c3ccc(C)cc4ccc(cc3)c2c2c3ccc(cc3)c2c14,4,664,0.7272727272727273,0.7272727272727273,0.0008385181427001953,
C#Cc1cc2ccc3ccc4ccc5ccc6ccc1c1c6c3c4c5c21,1,222,0.7341772151898734,0.7341772151898734,0.0006778240203857422,
CC(=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14)C1C=CC1,0,240,0.7160493827160493,0.7160493827160493,0.0008862018585205078,
C=C(C)c1cc2ccc3ccc4ccc5ccc6ccc1c1c6c3c4c5c21,5,176,0.7160493827160493,0.7160493827160493,0.0007297992706298828,
CC=CC=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,3,762,0.7631578947368421,0.7631578947368421,0.0008044242858886719,
C1=C2CC1C2C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,2,241,0.7160493827160493,0.7160493827160493,0.0009379386901855469,
CCc1c2ccc3ccc4ccc(c2)c2c1c3c4c1c3ccc(cc3)c21,8,925,0.7564102564102564,0.7564102564102564,0.0007560253143310547,
C=c1cc2ccc3ccc4ccc(c2)c2c1c3c4c1c3ccc(cc3)c21,0,259,0.7341772151898734,0.7341772151898734,0.000942230224609375,
c1cc2ccc3ccc4c5ccc6ccc1c1c6c5c2c3c41,0,258,0.7746478873239436,0.7746478873239436,0.0007731914520263672,
CC(C)c1cc2ccc3ccc4ccc5ccc6ccc1c1c6c3c4c5c21,1,217,0.7160493827160493,0.7160493827160493,0.0007183551788330078,
C1=C(c2c3c4cccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)C1,0,146,0.717948717948718,0.717948717948718,0.0008981227874755859,
CC=C1C2C(=c3c4c5ccc6ccc(cc5)c4c4c5ccc(cc5)c4c36)C12,2,238,0.7160493827160493,0.7160493827160493,0.0008356571197509766,
C=Cc1cc2ccc3ccc4ccc1c1c5c6ccc(cc6)c5c2c3c41,29,890,0.7341772151898734,0.7341772151898734,0.0009350776672363281,
C(=C1C2=CC12)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,18,662,0.7341772151898734,0.7341772151898734,0.0008225440979003906,
CC1=C2C(C=c3c4c5ccc6ccc(cc5)c4c4c5ccc(cc5)c4c36)C12,1,237,0.7160493827160493,0.7160493827160493,0.0008361339569091797,
C=CC1C(=C)C1=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,0,209,0.7160493827160493,0.7160493827160493,0.0008041858673095703,
C#Cc1cc2ccc3ccc4ccc1c1c5c6ccc(cc6)c5c2c3c41,27,866,0.7341772151898734,0.7341772151898734,0.0009179115295410156,
C=C=c1c2c3ccc(=C)ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,7,177,0.7160493827160493,0.7160493827160493,0.0008032321929931641,
CCc1cc2ccc3ccc4ccc5ccc6ccc1c1c4c5c6c3c21,2,278,0.7341772151898734,0.7341772151898734,0.0006868839263916016,
C#CC(C)=CC=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,1,238,0.7160493827160493,0.7160493827160493,0.0008072853088378906,
CC(C)c1cc2ccc3ccc4ccc5ccc6ccc1c1c4c3c2c5c61,0,204,0.7160493827160493,0.7160493827160493,0.0007379055023193359,
