step,error
0,No more individual to be mutated
1,C (Mutation error)
1,No more individual to be mutated
2,CCC (Mutation error)
2,C (Mutation error)
2,No more individual to be mutated
3,C=C (Mutation error)
3,CCC (Mutation error)
3,CC (Mutation error)
3,C (Mutation error)
3,No more individual to be mutated
3,No replacement occured
4,CC (Mutation error)
4,C (Mutation error)
4,No more individual to be mutated
5,C=C (Mutation error)
5,CC (Mutation error)
5,No more individual to be mutated
6,C=CC (Mutation error)
6, (Mutation error)
6,CCCC (Mutation error)
6,C=C=C (Mutation error)
6,C1CC1 (Mutation error)
6,CCC (Mutation error)
6,CC (Mutation error)
6,C (Mutation error)
6,No more individual to be mutated
7,C=CC (Mutation error)
7, (Mutation error)
7,C=C=C (Mutation error)
7,C=C (Mutation error)
7,CC (Mutation error)
7,C (Mutation error)
7,No more individual to be mutated
8,C=CC (Mutation error)
8,CC (Mutation error)
8,C=C (Mutation error)
8,C1CC1 (Mutation error)
8,C=C=C (Mutation error)
8,CCCC (Mutation error)
8, (Mutation error)
8,C#C (Mutation error)
8,C#CC (Mutation error)
8,CCC1CC1(C)C (Mutation error)
8,CC1CCC1 (Mutation error)
8,C (Mutation error)
8,No more individual to be mutated
9,CC=CCC (Mutation error)
9,CC (Mutation error)
9,CCC (Mutation error)
9,C=C (Mutation error)
9,C1CC1 (Mutation error)
9, (Mutation error)
9,C#C (Mutation error)
9,C#CC (Mutation error)
9,CC1CCC1 (Mutation error)
9,C1#CC1 (Mutation error)
9,CC(C)C (Mutation error)
10,CCC1C=C1C (Mutation error)
10,CC1=C2C1C2(C)C (Mutation error)
10,C=CC (Mutation error)
10,C=CCC (Mutation error)
10, (Mutation error)
10,CC1CC1 (Mutation error)
10,C=C=C (Mutation error)
10,C1CC1 (Mutation error)
10,C#CC (Mutation error)
10,C=C (Mutation error)
10,CCC (Mutation error)
10,CC (Mutation error)
10,C#C (Mutation error)
11,C1=CC1 (Mutation error)
11,CC1=CCC1 (Mutation error)
11,C#C (Mutation error)
11,CCCCC (Mutation error)
11,CCC1CC1(C)C (Mutation error)
11,C#CC (Mutation error)
11, (Mutation error)
12,C1=CC1 (Mutation error)
12,CC1=CCC1 (Mutation error)
12,CCC1(C)C2=CC21 (Mutation error)
12,C=CC (Mutation error)
12,C=C=CC (Mutation error)
12,C=CCC (Mutation error)
12,C=CCCC (Mutation error)
12,CCC(C)C (Mutation error)
12,CC(C)C (Mutation error)
12,C1#CC1 (Mutation error)
13,C1=CC1 (Mutation error)
13,CC=CC (Mutation error)
13,CC1=CC1 (Mutation error)
13,CC1C=CC1 (Mutation error)
13,CC=CCC (Mutation error)
13,CCC1C=C1C (Mutation error)
13,CCCC1C=C1 (Mutation error)
13,CC1CC=CC1 (Mutation error)
13,CCC1(C)C2=CC21 (Mutation error)
13,CCCCC1C=C1 (Mutation error)
13,C=CC (Mutation error)
14,CC1C=C1 (Mutation error)
14,C1#CC=C1 (Mutation error)
14,CC1=CC1C (Mutation error)
14,CC1C=CC1 (Mutation error)
14,CC1=CCC1 (Mutation error)
14,CC=CCC (Mutation error)
14,CCC1C=C1 (Mutation error)
15,C1=CC1 (Mutation error)
15,CC1=CC1 (Mutation error)
15,C1=CCC1 (Mutation error)
15,CC1=CC1C (Mutation error)
15,CC1=CC#C1 (Mutation error)
15,CCC1C=C1 (Mutation error)
15,CC=CCC (Mutation error)
15,CC1(C)C2=CC21 (Mutation error)
15,CCC1C=C1C (Mutation error)
16,C1=CC1 (Mutation error)
16,C1#CC=C1 (Mutation error)
16,C1=CCC1 (Mutation error)
16,CC=CC (Mutation error)
16,CC1=CC1C (Mutation error)
16,CC12C=C1C2 (Mutation error)
16,CC1C=CC1 (Mutation error)
16,CC=CCC (Mutation error)
16,CC1(C)C2=CC21 (Mutation error)
17,C1=CC1 (Mutation error)
17,C1C2=C1C2 (Mutation error)
17,CC1C=C1 (Mutation error)
17,C1=CCC1 (Mutation error)
17,CC=CC (Mutation error)
17,CC1=CC1C (Mutation error)
17,CC1=CCC1 (Mutation error)
17,CC1C=CC1 (Mutation error)
17,CC1C2=C1C2 (Mutation error)
17,CCC1C=C1 (Mutation error)
17,C1CC2=C1C2 (Mutation error)
18,C1=CC1 (Mutation error)
18,CC1C=C1 (Mutation error)
18,CC12C=C1C2 (Mutation error)
18,CC1=CC#C1 (Mutation error)
18,CC1=CCC1 (Mutation error)
18,CC1C=CC1 (Mutation error)
19,CC12C=CC1=C2 (Mutation error)
19,C1=CC1 (Mutation error)
19,C1=C2CC12 (Mutation error)
19,CC1C=C1 (Mutation error)
19,C1#CC=C1 (Mutation error)
19,CC=CC (Mutation error)
19,CC1=CC#C1 (Mutation error)
19,CC1C=CC1 (Mutation error)
19,CC1C2=C1C2 (Mutation error)
20,C1=C2C=C12 (Mutation error)
20,C1=CC1 (Mutation error)
20,CC1=CC1 (Mutation error)
20,C1#CC=C1 (Mutation error)
20,CC=CC (Mutation error)
20,C1C2=C1C2 (Mutation error)
20,C1=C2CC12 (Mutation error)
20,CC1=CC1C (Mutation error)
20,CC1(C)C=C1 (Mutation error)
20,CC1C2=CC21 (Mutation error)
20,CC1=CCC1 (Mutation error)
20,CC1=CC#C1 (Mutation error)
20,CC1C=CC1 (Mutation error)
21,C1=C2C=C12 (Mutation error)
21,CC12C=CC1=C2 (Mutation error)
21,C1=CC1 (Mutation error)
21,C1=C2CC12 (Mutation error)
21,CC=CC (Mutation error)
21,C12=C3C1C23 (Mutation error)
21,C1#CC=C1 (Mutation error)
21,CC1C=C1 (Mutation error)
21,CC1=CC1 (Mutation error)
21,CC1(C)C=C1 (Mutation error)
21,CC12C3=C1C32 (Mutation error)
22,C1=C2C=C12 (Mutation error)
22,CC12C=CC1=C2 (Mutation error)
22,CC1=CC=CC1 (Mutation error)
22,CC1=CC(C)C2=CC12 (Mutation error)
22,C1=CC1 (Mutation error)
22,CC=CC (Mutation error)
22,C1C2=C1C2 (Mutation error)
22,C1=CCC1 (Mutation error)
22,CC1=C=C1 (Mutation error)
22,CC1=CC1 (Mutation error)
22,C12=C3C1=C23 (Mutation error)
22,C1#CC=C1 (Mutation error)
22,CC1=CC1C (Mutation error)
22,C1=C2CC1C2 (Mutation error)
22,CC1=C=C1C (Mutation error)
22,CC12C3=C1C32 (Mutation error)
23,CC1=CCC2=CC12 (Mutation error)
23,CCC1C=CC=C1C (Mutation error)
23,CC1=CC(C)C2=CC12 (Mutation error)
24,C1=C2C=C1C2 (Mutation error)
24,C1=C2C=C1CC2 (Mutation error)
24,CC1=CCC2=CC12 (Mutation error)
24,CC1=CC(C)C2=CC12 (Mutation error)
25,C1=C2C=C12 (Mutation error)
25,C1=CC=C1 (Mutation error)
25,C1=CC2C=C12 (Mutation error)
25,C1=C2C=C2C1 (Mutation error)
25,C1=C2C=C(C1)C2 (Mutation error)
26,C1=C2C=C12 (Mutation error)
26,CC1=CC=C1 (Mutation error)
26,C1=CC2C=C12 (Mutation error)
26,C1=C2C=C(C1)C2 (Mutation error)
26,CC1=CCC=C1 (Mutation error)
26,CC1C=C2C=C1C2 (Mutation error)
27,C1=C2C=C12 (Mutation error)
27,C1=CC2C=C12 (Mutation error)
27,CC12C=CC1=C2 (Mutation error)
27,C1=C2C=C(C1)C2 (Mutation error)
27,CC1=CC2(C)C=C12 (Mutation error)
28,C1=C2C=C12 (Mutation error)
28,C1=CC=C1 (Mutation error)
28,C1=C2C=C2C1 (Mutation error)
28,CC12C=CC1=C2 (Mutation error)
28,CC1=CCC=C1 (Mutation error)
28,CC1=CC2(C)C=C12 (Mutation error)
29,C1=C2C=C12 (Mutation error)
29,C1=C2C=C1C2 (Mutation error)
29,C1=C2C=C2C1 (Mutation error)
29,C1=CCC=C1 (Mutation error)
29,CC1=CC(C)=C1 (Mutation error)
29,CC12C=CC1=C2 (Mutation error)
29,CCC1=CC=C1 (Mutation error)
29,C1=C2C=C(C1)C2 (Mutation error)
29,CC1=CCC=C1 (Mutation error)
29,CCC1C2=CC1=C2 (Mutation error)
29,CC1=CC2(C)C=C12 (Mutation error)
29,CC1=CCC=CC1 (Mutation error)
29,CC12C=C1C=CC2 (Mutation error)
30,C1=C2C=C12 (Mutation error)
30,C1=CC=C1 (Mutation error)
30,CC1=CC=C1 (Mutation error)
30,C1=CCC=C1 (Mutation error)
30,C1=C2C=C(C1)C2 (Mutation error)
30,CC1=CCC=C1 (Mutation error)
30,CC1=CC=CC1 (Mutation error)
31,C1=CC=C1 (Mutation error)
31,C1=C2C=C12 (Mutation error)
31,C1=C2C=C1C2 (Mutation error)
31,CC1=CC=C1 (Mutation error)
31,C1=CC2C=C12 (Mutation error)
31,CCC1=CC=C1 (Mutation error)
31,CC1=CCC=C1 (Mutation error)
31,C1=C2C=C1CC2 (Mutation error)
32,C1=C2C=C12 (Mutation error)
32,C1=C2C=C1C2 (Mutation error)
32,CC1=CC=C1 (Mutation error)
32,C1=C2C3=CC123 (Mutation error)
32,C1=C2C=C2C1 (Mutation error)
32,CC1=C(C)C=C1 (Mutation error)
33,C1=CC=C1 (Mutation error)
33,C1=C2C=C12 (Mutation error)
33,C1=C2C=C1C2 (Mutation error)
33,CC1=CC=C1 (Mutation error)
33,C1=C2C3=CC123 (Mutation error)
33,CC1C2=CC1=C2 (Mutation error)
33,C1=CCC=C1 (Mutation error)
33,CC1=C(C)C=C1 (Mutation error)
33,C1=C2C=C1CC2 (Mutation error)
33,CC1=CC=CC1 (Mutation error)
34,C1=CC=C1 (Mutation error)
34,C1=C2C=C12 (Mutation error)
34,C1=C2C=C1C2 (Mutation error)
34,CC1=CC=C1 (Mutation error)
34,C1=C2C3=CC123 (Mutation error)
34,C1=C2C=C2C1 (Mutation error)
34,C1=CCC=C1 (Mutation error)
34,CC1=C(C)C=C1 (Mutation error)
34,CC12C=CC1=C2 (Mutation error)
34,C1=C2CC13C=C23 (Mutation error)
34,C1=C2C=C(C1)C2 (Mutation error)
34,C1=CC2=CC2C1 (Mutation error)
34,C1=CC2C=C2C1 (Mutation error)
34,CC(C)C1=CC=C1 (Mutation error)
34,C1=CCCC=C1 (Mutation error)
34,CCC1C2=CC1=C2 (Mutation error)
34,CC1=CC2=CC12C (Mutation error)
34,CCC1C2=C1C=C2 (Mutation error)
35,C1=CC=C1 (Mutation error)
35,C1=C2C=C12 (Mutation error)
35,C1=C2C=C1C2 (Mutation error)
35,CC1=CC=C1 (Mutation error)
35,CC1C2=CC1=C2 (Mutation error)
35,C1=CC2C=C12 (Mutation error)
35,CC12C=CC1=C2 (Mutation error)
35,C1=C2C=C1CC2 (Mutation error)
36,C1=CC=C1 (Mutation error)
36,C1=C2C=C1C2 (Mutation error)
36,CC1=CC=C1 (Mutation error)
36,C1=CC2C=C12 (Mutation error)
36,CC12C=CC1=C2 (Mutation error)
36,C1=C2CC13C=C23 (Mutation error)
37,C1=C2C=C12 (Mutation error)
37,C1=CC=C1 (Mutation error)
37,CC1=CC=C1 (Mutation error)
37,CC1=CC(C)=C1 (Mutation error)
37,C1=CCC=C1 (Mutation error)
37,CCC1=CC=C1 (Mutation error)
37,C1=C2CC13C=C23 (Mutation error)
37,CC1C2=C1C=C2 (Mutation error)
37,C1=C2C=C(C1)C2 (Mutation error)
