step,error
0,No more individual to be mutated
1, (Mutation error)
1,No more individual to be mutated
2, (Mutation error)
2,C (Mutation error)
2,No more individual to be mutated
3, (Mutation error)
3,C (Mutation error)
3,No more individual to be mutated
4,CCCC (Mutation error)
4,CCC (Mutation error)
4, (Mutation error)
4,No more individual to be mutated
5,C#CCC (Mutation error)
5,CCC (Mutation error)
5, (Mutation error)
5,C (Mutation error)
5,No more individual to be mutated
6,CCC1=CC#C1 (Mutation error)
6,CC1CC1C (Mutation error)
6,C#C (Mutation error)
6,CC (Mutation error)
6,CCC1CC1C (Mutation error)
6,CCC (Mutation error)
6, (Mutation error)
6,C (Mutation error)
6,No more individual to be mutated
7, (Mutation error)
7,CCC (Mutation error)
7,CCCC (Mutation error)
7,CCCCC (Mutation error)
7,C#C (Mutation error)
7,CCC#CCC (Mutation error)
8,C1#CC=C1 (Mutation error)
8, (Mutation error)
9,C1#CC=C1 (Mutation error)
9,CCC1=CC#C1 (Mutation error)
9,CCCC1=CC#C1 (Mutation error)
9,C#C (Mutation error)
9,C1CC1 (Mutation error)
9,CC (Mutation error)
9,C#CC (Mutation error)
9,CCCCC (Mutation error)
9,CC#CCC (Mutation error)
10,C1#CC(C2C=C2)=C1 (Mutation error)
10,CC1=CC1C1=CC#C1 (Mutation error)
10,C1C2=C1C2 (Mutation error)
10,CCC1=CC#C1 (Mutation error)
10,CCCC (Mutation error)
10,CCC#CCC (Mutation error)
10,C#CC (Mutation error)
11,C1=CC1C1=CC1 (Mutation error)
11,C1=CCC1 (Mutation error)
11,CCC1C=C1 (Mutation error)
11,C1=CC2CC12 (Mutation error)
12,CC1=CC1C1=CC#C1 (Mutation error)
12,C1=CC1 (Mutation error)
12,C1=CC=1 (Mutation error)
12,CC1=CC1 (Mutation error)
12,C1=CCC1 (Mutation error)
12,C12=C3C1C23 (Mutation error)
12,CC1=C(C)C1 (Mutation error)
13,C1#CC(C2C=C2)=C1 (Mutation error)
13,C1=CC1 (Mutation error)
13,C1=CC=1 (Mutation error)
14,C1=CC1C1=CC1 (Mutation error)
14,C1=CC1C1=CCC1 (Mutation error)
14,CC1=CC1C1=CC#C1 (Mutation error)
15,C1=CC1C1=CCC1 (Mutation error)
15,CCC1=CC=C1C (Mutation error)
16,C1=CC12C1=CC3=C1C32 (Mutation error)
16,CC1=CC12C1=CC3=C1C32 (Mutation error)
16,CC12C3=C1C(=C3)C21C=C1 (Mutation error)
16,CCC1=CC=C1 (Mutation error)
16,CC1=CC1C1=CC1 (Mutation error)
16,CC1=C(C2=C=C2)C1 (Mutation error)
18,CC1=C2CC13C1=CC4=C1C423 (Mutation error)
18,CCC1=C(C)C12C1=CC3=C1C32 (Mutation error)
18,CC1=C(C(C)C)C12C1=CC3=C(C1)C32 (Mutation error)
19,C1=CC2(C=C2)C2C=C12 (Mutation error)
19,CC1=C(C(C)C)C12C1=CC3=C(C1)C32 (Mutation error)
19,CC1=CC12C=CC1=CC12 (Mutation error)
21,CC1=CC12C1=CC3=C1CC32 (Mutation error)
22,C1=C2C3=C1C21C2=CC4=C2C431 (Mutation error)
22,C1=CC12C1=CC3=C1C32 (Mutation error)
22,C1=CC12C1=CC3=CC312 (Mutation error)
22,CC1=CC12C1=CC3=C1CC32 (Mutation error)
22,CC1=C2CC13C1=CC4=C1C423 (Mutation error)
22,CC1=C2C(C)C34C5=C3C(=C5)C124 (Mutation error)
22,CCC1=C(C)C12C1=CC3=C1C32 (Mutation error)
22,CC1=C2C(C)(C)C34C5=C3C(=C5)C124 (Mutation error)
22,C1=CC2(C=C2)C2C=C12 (Mutation error)
22,C1=CC12CC1=CC=C12 (Mutation error)
23,C1=C2C3=C1CC31C3=C4C=C3C241 (Mutation error)
23,C1=CC12C1=CC3=CC312 (Mutation error)
23,C1=CC12C1=CC3=C1C32 (Mutation error)
23,CC1=CC12C1=CC3=C1C32 (Mutation error)
23,CC12C3=C1C(=C3)C21C=C1 (Mutation error)
24,C1=C2C3=C1C21C2=CC4=C2C431 (Mutation error)
24,C1=CC12C1=CC3=C1C32 (Mutation error)
24,CC1=CC2=CC2C12C=C2 (Mutation error)
24,CC1=C(C)C12C1=CC3=C1C32 (Mutation error)
25,CC1=CC(C2C3=CC2=C3)=C1 (Mutation error)
26,C1=C2CC3=C4C=C3C4C2=C1 (Mutation error)
27,CC12C3=CC4=C3C4C3=C1C=C32 (Mutation error)
27,C1=C2C3=C1CC31C3=C4C=C3C241 (Mutation error)
27,C1=C2CC3C4=CC5=C4C5C2=C13 (Mutation error)
27,CC1=C2C3=C1C31C3=C4C=C3C421 (Mutation error)
27,C1=C2C3=C1C21C2C4=C2C341 (Mutation error)
28,C1=C2C3=C1CC31C3=C4C=C3C241 (Mutation error)
28,C1=C2CC3=C4C=C3C4C2=C1 (Mutation error)
29,CC12C3=CC4=C3C4C3=C1C=C32 (Mutation error)
29,C1=C2CC3C4=CC5=C4C5C2=C13 (Mutation error)
30,CCC1=CC2=C1C1=C3C=C1C23 (Mutation error)
30,C1=C2C3=C1C2C1=CC2=C1C23 (Mutation error)
30,C1=C2C3=C1C1(C3)C3=C4C=C3C241 (Mutation error)
30,C1=C2C3=C1CC3C1=C3C=C1C23 (Mutation error)
31,CC1=CC2=C(C1)C1=C3C=C1C23 (Mutation error)
31,C1=C2C3=C1C2C1=CC2=C1C23 (Mutation error)
31,C1=C2C3=C1CC3C1=C3C=C1C23 (Mutation error)
33,CC1=CC2=C1C1=C3C=C1C23 (Mutation error)
33,CCC1=CC2=C1C1=C3C=C1C23 (Mutation error)
33,CCC1=CC2=C1C1=C3C=C1C23C (Mutation error)
33,CC(C)C1=CC2=C1C1=C3C=C1C23 (Mutation error)
33,C1=C2C3=C1C21C2=CC4=C2C431 (Mutation error)
35,CC1=CC2=C1C1=C3C=C1C23 (Mutation error)
35,CC1=CC2=C(C1)C1=C3C=C1C23 (Mutation error)
35,CCC1=CC2=C1C1=C3C=C1C23C (Mutation error)
36,CC1=CC2=C1C1=C3C=C1C23 (Mutation error)
36,CCC1=CC2=C1C1=C3C=C1C23 (Mutation error)
36,CCC1=CC2=C1C1=C3C=C1C23C (Mutation error)
36,CC1=CC2=C(CC1)C1=C3C=C1C23 (Mutation error)
36,CCC1=CC2=C1C1=C3C=C1C3C2 (Mutation error)
36,C1=C2C3=C1C21C2=CC4=C2C431 (Mutation error)
37,CC(C)C1=CC2=C1C1=C3C=C1C23 (Mutation error)
37,CC1=CC=C1C1C2=CC1=C2 (Mutation error)
39,CC1=CC2=C(C1)C1=C3C=C1C23 (Mutation error)
39,CC(C)C1=CC2=C1C1=C3C=C1C23 (Mutation error)
39,CCC1=CC2=C1C1=C3C=C1C3C2 (Mutation error)
40,CC1C2=CC(=C2)C2=C3C=C2C31 (Mutation error)
40,CCC1=CC(C2=CC=C2)=C1 (Mutation error)
40,C1=C2CCC34C5=CC3=C5C2=C14 (Mutation error)
40,CCC1=CC2=C1C1=C3C=C1C23C (Mutation error)
41,CC1=CC2=C1C1C3=CC1=C32 (Mutation error)
41,CCC1=CC2=C1C1=C3C=C1C23 (Mutation error)
41,C1=C2CCC34C5=CC3=C5C2=C14 (Mutation error)
41,CC(C)C1=CC2=C1C1=C3C=C1C23 (Mutation error)
41,CC1=CC(C2C3=CC2=C3)=C1 (Mutation error)
41,CCC1=CC2=C1C1=C3C=C1C3C2 (Mutation error)
42,CCC1=CC(C2=CC=C2)=C1 (Mutation error)
42,CC1=CC2=C1C1=C3C=C1C23 (Mutation error)
43,CCC1=CC2=C1C1=C3C=C1C23 (Mutation error)
43,CC1=CC2=C(C1)C1=C3C=C1C23 (Mutation error)
44,CCC1=CC(C2=CC=C2)=C1 (Mutation error)
44,CC1=CC2=C1C1=C3C=C1C23 (Mutation error)
45,CC1C2=CC(=C2)C2=C3C=C2C31 (Mutation error)
46,C1=C2CC34C5=CC3=C5C1=C24 (Mutation error)
47,CC1=CC2=C1C1C3=CC1=C32 (Mutation error)
47,C1=C2CC34C5=CC3=C5C1=C24 (Mutation error)
48,CC1C2=CC(=C2)C2=C3C=C2C31 (Mutation error)
48,C1=C2C3=C1C21C2=CC3=C21 (Mutation error)
48,CC1=CC(C2=C(C)C=C2)=C1 (Mutation error)
48,CC1=CC2=C1C1=C3C=C1C23 (Mutation error)
48,CC(C)C1=CC(C2=CC=C2)=C1 (Mutation error)
49,C1=C2C3=C1C21C2=CC3=C21 (Mutation error)
49,CC(C)C1=CC(C2=CC=C2)=C1 (Mutation error)
50,CC1=CC(C2=C(C)C=C2)=C1 (Mutation error)
50,CC1=CC(C2=CC=C2C)=C1 (Mutation error)
50,CC1=CC2=C1C1C3=CC1=C32 (Mutation error)
50,C1=C2CC34C5=CC3=C5C2=C14 (Mutation error)
51,CC1C2=CC(=C2)C2=C3C=C2C31 (Mutation error)
51,CCC1=CC(C2=CC=C2)=C1 (Mutation error)
51,C1=C2CC34C5=CC3=C5C2=C14 (Mutation error)
53,CC12CC3=CC(=C3)C3=C1C=C32 (Mutation error)
53,CC1C2=CC(=C2)C2=C3C=C2C31C (Mutation error)
53,CC1=CC(C2=CC=C2)=C1 (Mutation error)
53,C1=C2C3=C1C21C2=CC1=C23 (Mutation error)
53,CC1=CC2=C1C1=C3C=C1C23 (Mutation error)
54,CC1=CC(C2=CC=C2)=C1 (Mutation error)
55,CC1=C2C3=C1C2C(C)C1=CC3=C1 (Mutation error)
55,CC1=CC(C2=CC=C2)=C1 (Mutation error)
55,C1=C2C3=C1C21C2=CC1=C23 (Mutation error)
55,CCC1=CC(C2=CC=C2)=C1 (Mutation error)
55,CC1=CC2=C1C1C3=CC1=C32 (Mutation error)
56,CC12CC3=CC(=C3)C3=C1C=C32 (Mutation error)
56,CC1=C2C3=C1C2C(C)C1=CC3=C1 (Mutation error)
56,CC1C2=CC(=C2)C2=C3C=C2CC31 (Mutation error)
56,C1=C2C3=C1C21C2=CC1=C23 (Mutation error)
57,CC1=C2C3=C1C2C(C)C1=CC3=C1 (Mutation error)
58,CC1=C2C3=C1C2C(C)C1=CC3=C1 (Mutation error)
58,CC1C2=CC(=C2)C2=C3C=C2CC31C (Mutation error)
59,CC1CC2C3=CC2=C3C2=CC1=C2 (Mutation error)
60,CC1=C2C3=C1C2CC1=CC3=C1 (Mutation error)
61,CC1C2=CC(=C2)C2=C3C=C2C31 (Mutation error)
61,CC1=C2C3=C1CC21C=CC(C1)C1=CC3=C1 (Mutation error)
62,CC1=C2C3=C(C1)C2C1=CC3=C1 (Mutation error)
62,CC1=C2C3=C1C2C(C)C1=CC3=C1 (Mutation error)
63,CCC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
63,C1=C2C=C1C1=C3C=C1C3C2 (Mutation error)
63,CC1C2=CC(=C2)C2=C3C4=C2C341 (Mutation error)
63,CC12C3=C4C5=CC(=C5)C1C3=C42 (Mutation error)
64,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
65,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
65,CC1=C2C3=C1C2C1=CC3=C1 (Mutation error)
65,CCC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
66,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
66,CC12CC3=CC(=C3)C3=C1C=C32 (Mutation error)
67,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
67,CC12C3=CC(=C3)C3=C1C=C32 (Mutation error)
67,CC1=C2C3=C1C21C=CC(C1)C1=CC3=C1 (Mutation error)
67,CC1C2=CC(=C2)C2=C3C4=C2C341 (Mutation error)
68,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
68,CC12C3=CC(=C3)C3=C1C=C32 (Mutation error)
68,C1=C2C=C1C1=C3C=C1C3C2 (Mutation error)
68,CC1C2=CC(=C2)C2=C3C4=C2C341 (Mutation error)
68,CC12CC3=CC(=C3)C3=C1C=C32 (Mutation error)
68,CC1=C2C3=C1C2CC1=CC3=C1 (Mutation error)
69,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
69,CC1=C2C3=C1C21C=CC(C1)C1=CC3=C1 (Mutation error)
69,CCC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
71,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
71,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
71,CC1=C2C3=C1C21C=CC(C1)C1=CC3=C1 (Mutation error)
71,CC1=C2C3=C1C2(C)C1=CC3=C1 (Mutation error)
72,C1=C2C=C1C1C3=C4C2=C3C41 (Mutation error)
72,C1=C2C=C1C1=C3CC1=C3C2 (Mutation error)
73,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
73,CCC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
73,C1=C2C=C1C13C=C(CC1)C31C3=CC1=C23 (Mutation error)
