step,error
0,No more individual to be mutated
1,CC (Mutation error)
1,C (Mutation error)
1,No more individual to be mutated
1,No replacement occured
2,CC (Mutation error)
2,No more individual to be mutated
3, (Mutation error)
3,C (Mutation error)
3,No more individual to be mutated
4, (Mutation error)
4,CC (Mutation error)
4,C (Mutation error)
4,No more individual to be mutated
5,CCCC (Mutation error)
5, (Mutation error)
5,CC (Mutation error)
5,C (Mutation error)
5,No more individual to be mutated
6,CCC (Mutation error)
6, (Mutation error)
6,CC (Mutation error)
6,C (Mutation error)
6,No more individual to be mutated
7,C1CCC1 (Mutation error)
7,CCCC (Mutation error)
7, (Mutation error)
7,C (Mutation error)
7,No more individual to be mutated
8,C1=CCC1 (Mutation error)
8,C1=CC1 (Mutation error)
8,CCC (Mutation error)
8,CCCC (Mutation error)
8, (Mutation error)
8,CC (Mutation error)
8,C (Mutation error)
8,No more individual to be mutated
9,C1CCCC1 (Mutation error)
9,CC (Mutation error)
9, (Mutation error)
9,CCCC (Mutation error)
9,CCC (Mutation error)
9,CCCCC (Mutation error)
10,C=C (Mutation error)
10,CC=CC (Mutation error)
10,CC (Mutation error)
10, (Mutation error)
10,CCCC (Mutation error)
10,CCC (Mutation error)
10,C1=CC1 (Mutation error)
10,C1CCC1 (Mutation error)
10,C1=CCC1 (Mutation error)
10,C1CC1 (Mutation error)
10,C1#CC1 (Mutation error)
10,C1#CCC1 (Mutation error)
10,C#CCCC (Mutation error)
10,C#C (Mutation error)
10,CCCCCCC (Mutation error)
11,C=C (Mutation error)
11,C1=CCC1 (Mutation error)
11,C1#CC1 (Mutation error)
11,C1CC1 (Mutation error)
11,C1CCCC1 (Mutation error)
11,CCCCCC (Mutation error)
11,C1CCC1 (Mutation error)
11,C1=CC1 (Mutation error)
11,CCC (Mutation error)
11,CCCC (Mutation error)
11, (Mutation error)
11,CC (Mutation error)
11,CCCCC (Mutation error)
11,C#C (Mutation error)
12,C=CC (Mutation error)
12,C=CCC (Mutation error)
12,C=C (Mutation error)
12,CC=CCC (Mutation error)
12,CC=C(C)CC (Mutation error)
12,C1CC1 (Mutation error)
12,C#C (Mutation error)
12,C#CCCC (Mutation error)
12,C1#CC1 (Mutation error)
12,CCCCC (Mutation error)
12,CCCCCC (Mutation error)
13,C=CC (Mutation error)
13,C=CCC (Mutation error)
13,C=C (Mutation error)
13,C=C(C)C (Mutation error)
13,C#CC(=C)C (Mutation error)
13,C=C(C)CC (Mutation error)
13,C#CC(=C)CC (Mutation error)
13,CCCCCCC (Mutation error)
14,C=CC (Mutation error)
14,C=CC(C)C (Mutation error)
14,C=CCCC (Mutation error)
14,C=C (Mutation error)
14,CC=CC (Mutation error)
14,C=C(C)C (Mutation error)
14,C#CC(=C)C (Mutation error)
14,C=C(C)CC (Mutation error)
15,C=CC(=C)C (Mutation error)
15,C=CC (Mutation error)
15,C=CCC (Mutation error)
15,C=CC(C)C (Mutation error)
15,C=CCCC (Mutation error)
15,C=CCCCC (Mutation error)
15,C=CCCCCC (Mutation error)
15,C=C (Mutation error)
15,CC=CC (Mutation error)
15,CC=CCC (Mutation error)
15,CCC=CCC (Mutation error)
15,C=C(C)C (Mutation error)
15,CC=C(C)C (Mutation error)
16,C=CC (Mutation error)
16,C=CC(C)C (Mutation error)
16,C=CC(C)CC (Mutation error)
16,C=CCCCCC (Mutation error)
16,C=C (Mutation error)
16,CC=CC (Mutation error)
16,CC=CCC (Mutation error)
16,CCC=CCC (Mutation error)
16,CC=CC(C)(C)C (Mutation error)
16,CC=CCC1C#C1 (Mutation error)
16,C=C(C)C (Mutation error)
16,C=C=C(C)C (Mutation error)
17,C=CC(=C)C (Mutation error)
17,C=CC (Mutation error)
17,C=CC(C)C (Mutation error)
17,C=CCCC (Mutation error)
17,C=CCCCCC (Mutation error)
17,C=C (Mutation error)
17,C=C=CC (Mutation error)
17,CC=C=CC (Mutation error)
18,C=CC (Mutation error)
18,C=CCC (Mutation error)
18,C=CC(C)CC (Mutation error)
18,C=CC(C)(C)CC (Mutation error)
18,C=CC(C)CCC (Mutation error)
19,C=CCCC=C (Mutation error)
19,C=CC(=C)C (Mutation error)
19,C=CC (Mutation error)
19,C=CCC (Mutation error)
19,C#CC=C (Mutation error)
19,C=CCCC (Mutation error)
19,C=CCCCC (Mutation error)
19,C=CC1=CCC1C (Mutation error)
20,C=CC (Mutation error)
20,C=CCCC (Mutation error)
20,C=CC(C)CC (Mutation error)
21,C=CC=C (Mutation error)
21,C=CCC=C (Mutation error)
21,C=CC=C(C)C (Mutation error)
21,C=CCC=CC (Mutation error)
21,C=CC(=C)C (Mutation error)
21,C=CCC (Mutation error)
21,C#CC=C (Mutation error)
21,C=CC(C)CC (Mutation error)
21,C=CC(C)(C)CC (Mutation error)
22,C=CC=C (Mutation error)
22,C=CC=C(C)CCC (Mutation error)
22,C=CC(=C)C (Mutation error)
22,C=CC (Mutation error)
22,C=CCC (Mutation error)
22,C#CC=C (Mutation error)
22,C=CC(C)C (Mutation error)
22,C=CC(C)(C)C (Mutation error)
22,C=CC1=CC1C (Mutation error)
22,C=CC(C)CC (Mutation error)
22,C=CCC(C)C (Mutation error)
23,C=CC(C)C=C (Mutation error)
23,C=CCCC=C (Mutation error)
23,C=CCC=CC (Mutation error)
23,C=CC=C(C)CC (Mutation error)
23,C=CC=C(C)CCC (Mutation error)
23,C=CC (Mutation error)
23,C#CC=C (Mutation error)
23,C=CCC (Mutation error)
23,C=CCCC (Mutation error)
23,C=CC(C)(C)C (Mutation error)
24,C=CC=CCCC (Mutation error)
24,C=CCCC=C (Mutation error)
24,C=CCC=CC (Mutation error)
24,C=CC(=C)C (Mutation error)
24,C=CCC(=C)C (Mutation error)
25,C=CC=CC (Mutation error)
25,C=CC=CCCC (Mutation error)
25,C=CC(C)C=C (Mutation error)
25,C=CCCC=C (Mutation error)
25,C=CCC=CC (Mutation error)
25,C=CC(C)C=CC (Mutation error)
25,C=CC=C(CC)CC (Mutation error)
25,C=CC=C(C)CCC (Mutation error)
25,C=CC=C1CCCC1 (Mutation error)
25,C=CCC(=C)C (Mutation error)
25,C=CCC(=C)CC (Mutation error)
25,C=CC (Mutation error)
25,C=CCC (Mutation error)
26,C=CC=C (Mutation error)
26,C=CCC=C (Mutation error)
26,C=CCCC=C (Mutation error)
26,C=CC=C(C)C (Mutation error)
26,C=CCC=CC (Mutation error)
27,C=CC=C (Mutation error)
27,C=CC=CC (Mutation error)
27,C=CCC=C (Mutation error)
27,C=CCC=CC (Mutation error)
28,C=CC=C (Mutation error)
28,C=CC=CC (Mutation error)
28,C=CC=CCCC (Mutation error)
28,C=CCC=C (Mutation error)
28,C=CC(C)C=C (Mutation error)
28,CC=CC=CC (Mutation error)
28,C=CCC=CC (Mutation error)
28,C=CC=C(C)CC (Mutation error)
28,C=CC=C(C)CCC (Mutation error)
28,C=CC=C(CC)CC (Mutation error)
28,C=CCC(=C)C (Mutation error)
29,C=CC=C (Mutation error)
29,C=CC=CC (Mutation error)
29,C=CCC=C (Mutation error)
29,C=CCCC=C (Mutation error)
29,C=CC=C(C)C (Mutation error)
29,C=CCC=CC (Mutation error)
29,C=CC=C(C)CC (Mutation error)
29,C=CC=C(C)CCC (Mutation error)
30,C=CC=C (Mutation error)
30,C=CC=CC (Mutation error)
30,C=CC=CCC (Mutation error)
30,C=CCC=C (Mutation error)
30,C=CC(C)C=C (Mutation error)
30,C=CC(C)(C)C=C (Mutation error)
30,CC=CC=CCC (Mutation error)
30,C=CC=C(C)C (Mutation error)
30,C=CC(C)C=CC (Mutation error)
30,C=CC=C1CCC1 (Mutation error)
30,C=CC=C1CCCC1 (Mutation error)
31,C=CC=C (Mutation error)
31,C=CC=CCCC (Mutation error)
31,C=CCC=C (Mutation error)
31,C=CCCC=C (Mutation error)
31,C=CC(C)(C)C=C (Mutation error)
31,C=CC=C(C)C (Mutation error)
31,C=CCC=CC (Mutation error)
31,C=CC(C)C=CC (Mutation error)
32,C=CC=C (Mutation error)
32,C=CC=CC (Mutation error)
32,C=CC=CCCC (Mutation error)
32,C=CC(C)C=C (Mutation error)
32,CC=CC=CCC (Mutation error)
33,C=CC=C (Mutation error)
33,C=CC=CC (Mutation error)
33,C=CC=CC#CC (Mutation error)
33,CC=CC=CC (Mutation error)
33,C=CC(C)(C)C=C (Mutation error)
33,C=CCC(C)C=C (Mutation error)
34,C=CC=CC (Mutation error)
34,C=CC=CC#CC (Mutation error)
34,C=CC(C)(C)C=C (Mutation error)
34,C=CCC(C)C=C (Mutation error)
34,C=CC(=C)C=CC (Mutation error)
35,C=CC=CC (Mutation error)
35,C=CC=CCC (Mutation error)
35,C=CC=CC#CC (Mutation error)
35,C=CCC=C (Mutation error)
35,C=CC(C)C=C (Mutation error)
35,C=CCCC=C (Mutation error)
35,C=CCCCC=C (Mutation error)
35,C#CC=CC=CC (Mutation error)
35,CC=CC=CCC (Mutation error)
36,C=CC=C (Mutation error)
36,C=CC=CC (Mutation error)
36,C=CCC=C (Mutation error)
36,C=CC(C)C=C (Mutation error)
36,CC=CC=CC (Mutation error)
36,C=CC(=C)C=CC (Mutation error)
37,C=CC=C (Mutation error)
37,C=CC=CC (Mutation error)
37,C=CC=CC#CC (Mutation error)
37,C=CCC=C (Mutation error)
37,C=CC(C)C=C (Mutation error)
37,CC=CC=CC (Mutation error)
37,C=CC(C)(C)C=C (Mutation error)
37,C=CCC(C)C=C (Mutation error)
37,C=CC(=C)C=CC (Mutation error)
37,C#CC=CC=CC (Mutation error)
38,C=CC=C (Mutation error)
38,C=CC=CC (Mutation error)
38,C=CC=CCCC (Mutation error)
38,C=CC=CC#CC (Mutation error)
38,C=CCC=C (Mutation error)
38,C=CC(C)C=C (Mutation error)
38,C=CC(C)(C)C=C (Mutation error)
38,C=CC(=C)C=CC (Mutation error)
38,CC=CC=CCC (Mutation error)
39,C=CC=C (Mutation error)
39,C=CC=CC (Mutation error)
39,C=CC=CCCC (Mutation error)
39,C=CCC=C (Mutation error)
39,C=CC(C)C=C (Mutation error)
39,CC=CC=CC (Mutation error)
39,C=CC(C)(C)C=C (Mutation error)
40,C=CC=CC=CCC (Mutation error)
40,C=CC=C (Mutation error)
40,C=CC=CC (Mutation error)
40,C=CCC=C (Mutation error)
40,C=CCCC=C (Mutation error)
40,C=CC(C)(C)C=C (Mutation error)
41,C=CC=CC=CCC (Mutation error)
41,C=CC=C (Mutation error)
41,C=CC=CC (Mutation error)
41,C#CC=CC=C (Mutation error)
41,C=CC=CCCC (Mutation error)
41,C=CC(=C)C=CC (Mutation error)
42,C=CC=CC=CCC (Mutation error)
42,C=CC=C (Mutation error)
42,C=CC=CC (Mutation error)
42,C=CC=CCCC (Mutation error)
42,C=CC=CCCCC (Mutation error)
42,C=CC=CCCCCC (Mutation error)
42,C=CCC=C (Mutation error)
42,C=CCCC=C (Mutation error)
42,CC=CC=CC (Mutation error)
42,C=CC(C=C)CC (Mutation error)
42,C=CCCCC=C (Mutation error)
43,C=CC=CC=CCC (Mutation error)
43,C=CC=CC (Mutation error)
43,C=CC=CC(C)C (Mutation error)
43,C=CC=CCCC (Mutation error)
43,C=CC=CC#CC (Mutation error)
43,C=CCC=C (Mutation error)
43,C=CC(C)C=C (Mutation error)
43,C=CC=C=CC (Mutation error)
43,CC=CC=CC (Mutation error)
43,C=CCCC=C (Mutation error)
43,C=CC(C)(C)C=C (Mutation error)
44,C=CC=C (Mutation error)
44,C=CC=CC (Mutation error)
44,C=CC=CCCCCC (Mutation error)
44,C=CC(C)C=C (Mutation error)
45,C=CC=C (Mutation error)
45,C#CC=CC=C (Mutation error)
45,C=CC=CC(C)C (Mutation error)
45,C=CC=CCCCCC (Mutation error)
46,C=CC=CC=CC (Mutation error)
46,C=CC=C (Mutation error)
46,C=CC=CCC (Mutation error)
46,C=CC=CCCCCC (Mutation error)
46,C=CC=CCCCCCC (Mutation error)
47,C=CC=CC=CCC (Mutation error)
47,C=CC=C (Mutation error)
47,C=CC=CC (Mutation error)
47,C#CC=CC=C (Mutation error)
47,C=CC=CC(C)C (Mutation error)
47,C=CC=CC#CC (Mutation error)
47,C=CC=CCCC (Mutation error)
48,C=CC=C (Mutation error)
48,C=CC=CC (Mutation error)
48,C#CC=CC=C (Mutation error)
48,C=CC=CCC (Mutation error)
48,C=CC=CCCC (Mutation error)
48,C=CC=CCCCCC (Mutation error)
49,C=CC=CC(=C)C (Mutation error)
49,C=CC=C (Mutation error)
49,C=CC=CC (Mutation error)
49,C=CC=CCC (Mutation error)
49,C#CC=CC=C (Mutation error)
49,C=CC=CC(C)CC (Mutation error)
50,C=CC=CC=CCC (Mutation error)
50,C=CC=CC(=C)C (Mutation error)
50,C=CC=C (Mutation error)
50,C=CC=CC (Mutation error)
50,C=CC=CCC (Mutation error)
50,C=CC=CCCC (Mutation error)
51,C=CC=CC(=C)C (Mutation error)
51,C=CC=C (Mutation error)
51,C=CC=CC (Mutation error)
51,C#CC=CC=C (Mutation error)
51,C=CC=CCC (Mutation error)
52,C=CC=CC=C (Mutation error)
52,C=CC=CC=CCC (Mutation error)
52,C=CC=CC=C(C)C (Mutation error)
52,C=CC=CCCCC=C (Mutation error)
52,C=CC=C (Mutation error)
52,C=CC=CC (Mutation error)
53,C=CC=CC=CC (Mutation error)
53,C=CC=CCCC=C (Mutation error)
53,C=CC=C (Mutation error)
53,C=CC=CC (Mutation error)
53,C=CC=CC(C)=CCC (Mutation error)
54,C=CC=CC=C (Mutation error)
54,C=CC=CC=CC (Mutation error)
54,C=CC=CCC=C (Mutation error)
54,C=CC=CCCC=C (Mutation error)
54,C=CC=C (Mutation error)
54,C=CC=CC (Mutation error)
54,C=CC=CCC(=C)CC (Mutation error)
55,C=CC=CC=CCC (Mutation error)
55,C=CC=CCC=C (Mutation error)
55,C=CC=CC(=C)C (Mutation error)
55,C=CC=C (Mutation error)
55,C=CC=CCC(=C)C (Mutation error)
55,C=CC=CC (Mutation error)
56,C=CC=CC=C (Mutation error)
56,C=CC=CC=CC (Mutation error)
56,C=CC=CCC=C (Mutation error)
56,C=CC=CCCC=C (Mutation error)
56,C=CC=CC(=C)C (Mutation error)
56,C=CC=C (Mutation error)
56,C=CC=CC(C)=CC (Mutation error)
58,C=CC=CC=CC (Mutation error)
58,C=CC=CCC=C (Mutation error)
58,C=CC=CC=C(C)C (Mutation error)
58,C=CC=CC(C)CC=C (Mutation error)
58,C=CC=CC=C(C)CC (Mutation error)
58,C=CC=CCC(C)CC=C (Mutation error)
58,C=CC=CCCCCC=C (Mutation error)
58,C=CC=CCCCCCC=C (Mutation error)
58,C=CC=C (Mutation error)
58,C=CC=CC(C)=CC (Mutation error)
59,C=CC=CC=CC (Mutation error)
59,C=CC=CC=CCC (Mutation error)
59,C=CC=CCC=C (Mutation error)
59,C=CC=CC=C(C)C (Mutation error)
59,C=CC=CCCCCC=C (Mutation error)
60,C=CC=CC=C (Mutation error)
60,C=CC=CC=CCCC (Mutation error)
60,C=CC=CCC=C (Mutation error)
60,C=CC=CC=C(C)C (Mutation error)
60,C=CC=CCCC=C (Mutation error)
60,C=CC=CC=C(C)CC (Mutation error)
60,C=CC=CCCCC=C (Mutation error)
61,C=CC=CC=C (Mutation error)
61,C=CC=CC=CCC (Mutation error)
61,C=CC=CCC=C (Mutation error)
61,C=CC=CC=C1CC1 (Mutation error)
62,C=CC=CC=C (Mutation error)
62,C=CC=CC=CCCC=CC (Mutation error)
62,C=CC=CC=CCCC (Mutation error)
62,C=CC=CCCC=CCC=C (Mutation error)
62,C=CC=CC=C1CC1 (Mutation error)
62,C=CC=CC=C(C)CC (Mutation error)
63,C=CC=CC=CCCCC (Mutation error)
63,C=CC=CCC(C)=CC=C (Mutation error)
63,C=CC=CCCC=C (Mutation error)
64,C=CC=CC=C (Mutation error)
64,C=CC=CC=CCC=CC (Mutation error)
64,C=CC=CC=CC (Mutation error)
64,C=CC=CC=CCCCC (Mutation error)
64,C=CC=CCC=C (Mutation error)
64,C=CC=CC=C(C)C (Mutation error)
64,C=CC=CC(C=C)CC (Mutation error)
64,C=CC=CC=C(C)CC (Mutation error)
64,C=CC=CCCCC=C (Mutation error)
65,C=CC=CC=C (Mutation error)
65,C=CC=CC=CCC=CC (Mutation error)
65,C=CC=CC=CC (Mutation error)
65,C=CC=CCC(C)=CC=C (Mutation error)
65,C=CC=CCC=C (Mutation error)
66,C=CC=CC=C (Mutation error)
66,C=CC=CC=CCCC=CC (Mutation error)
66,C=CC=CC=CCCCC (Mutation error)
66,C=CC=CCC=CCC=C (Mutation error)
66,C=CC=CCC=C (Mutation error)
66,C=CC=CC=C1CC1 (Mutation error)
67,C=CC=CC=C (Mutation error)
67,C=CC=CC=CCC (Mutation error)
67,C=CC=CC=CCCC (Mutation error)
68,C=CC=CC=C (Mutation error)
68,C=CC=CC=CCCC=CC (Mutation error)
68,C=CC=CC=CCC (Mutation error)
69,C=CC=CC=CCC=CC (Mutation error)
69,C=CC=CC=CCC (Mutation error)
69,C=CC=CC=CCCCC (Mutation error)
70,C=CC=CC=C (Mutation error)
70,C=CC=CC=CC (Mutation error)
70,C=CC=CC=CCC (Mutation error)
70,C=CC=CC=CCCC (Mutation error)
70,C=CC=CC=CCCCCC (Mutation error)
70,C=CC=CCC=CC(C)C=C (Mutation error)
71,C=CC=CC=CCC=CC (Mutation error)
71,C=CC=CC=CC (Mutation error)
71,C=CC=CCC(C)=CC=C (Mutation error)
72,C=CC=CC=C (Mutation error)
72,C=CC=CC=CC (Mutation error)
72,C=CC=CC=CCCCC (Mutation error)
72,C=CC=CC=CCCCCC (Mutation error)
72,C=CC=CC(C=C)C=CC (Mutation error)
73,C=CC=CC=C (Mutation error)
73,C=CC=CC=CCCC=C (Mutation error)
73,C=CC=CC=CCCC=CC (Mutation error)
73,C=CC=CC=CC (Mutation error)
73,C=CC=CC=CCCC (Mutation error)
73,C=CC=CC=CCCCCC (Mutation error)
73,C=CC=CCC(C)=CC=C (Mutation error)
74,C=CC=CC=CC=C (Mutation error)
74,C=CC=CC=C (Mutation error)
74,C=CC=CC=CC (Mutation error)
74,C=CC=CC=CCC (Mutation error)
75,C=CC=CC=CC=C (Mutation error)
75,C=CC=CC=CCCC=C (Mutation error)
75,C=CC=CCC=CC=C (Mutation error)
75,C=CC=CC=CC (Mutation error)
75,C=CC=CC=CCC (Mutation error)
75,C=CC=CC=CCCCCC (Mutation error)
76,C=CC=CC=CC=C (Mutation error)
76,C=CC=CC=CCC=C (Mutation error)
76,C=CC=CC=CCC=CC (Mutation error)
76,C=CC=CC=CCCC=CC (Mutation error)
76,C=CC=CC=CC (Mutation error)
76,C=CC=CC=CCCC (Mutation error)
76,C=CC=CC=CCCCC (Mutation error)
76,C=CC=CC=CCCCCC (Mutation error)
76,C=CC=CC=CCCC1C=CC1 (Mutation error)
77,C=CC=CC=C (Mutation error)
77,C=CC=CC=CC(C)(C)CC=C (Mutation error)
77,C=CC=CC=CCCC=CC (Mutation error)
77,C=CC=CC=CC (Mutation error)
77,C=CC=CCC=CC=CC (Mutation error)
77,C=CC=CC=CCCCC (Mutation error)
77,C=CC=CC=C(C)CCC=C (Mutation error)
78,C=CC=CC=CC(=C)C (Mutation error)
78,C=CC=CC=CCC (Mutation error)
79,C=CC=CC=CC=C (Mutation error)
79,C=CC=CC=C (Mutation error)
79,C=CC=CC=CCC=C (Mutation error)
79,C=CC=CCC=CC=C (Mutation error)
79,C=CC=CC=CC (Mutation error)
79,C#CC=CC=CC=C (Mutation error)
79,C=CC=CC=CCCC (Mutation error)
80,C=CC=CC=CCC=C (Mutation error)
80,C=CC=CC=CCCC=C (Mutation error)
80,C=CC=CC=CCC=CC (Mutation error)
80,C=CC=CC=CC(=C)C (Mutation error)
80,C=CC=CC=CC (Mutation error)
80,C=CC=CC=CCC (Mutation error)
80,C#CC=CC=CC=C (Mutation error)
80,C=CC(C)C=CC=CC=CC (Mutation error)
80,C=CC=CC=CCCC (Mutation error)
81,C=CC=CC=CC=C (Mutation error)
81,C=CC=CC=C (Mutation error)
81,C=CC=CC=CCC=C (Mutation error)
81,C=CC=CC=CC (Mutation error)
81,C=CC=CC=CCC (Mutation error)
81,C=CC(C)C=CC=CC=CC (Mutation error)
82,C=CC=CC=CC(C)(C)CC=C (Mutation error)
82,C=CC=CC=CC(=C)C (Mutation error)
82,C=CC=CC=CC (Mutation error)
83,C=CC=CC=CC=C (Mutation error)
83,C=CC=CC=C (Mutation error)
83,C=CC=CC=CC(C)C(C)C=C (Mutation error)
84,C=CC=CCC=CC=C (Mutation error)
84,C=CC=CC=CC(C)C(C)C=C (Mutation error)
85,C=CC=CC=CC=C (Mutation error)
85,C=C=CC=CC=CC=C (Mutation error)
85,C=CC=CC=C (Mutation error)
85,C=CC=CC=CC(=C)C (Mutation error)
86,C=CC=CC=CC=C (Mutation error)
86,C=CC=CC=CC=CC (Mutation error)
86,C=C=CC=CC=CC=C (Mutation error)
86,C=CC=CC=C (Mutation error)
86,C=CC=CC=CCC=C (Mutation error)
86,C=CC=CC=CC(C)(C)CC=C (Mutation error)
86,C=CC=CC=CCC=CC (Mutation error)
86,C=CC=CC=CC(=C)C (Mutation error)
86,C=CC=CC=CCCC=CC (Mutation error)
87,C=CC=CC=CC=C (Mutation error)
87,C=CC=CC=CC=CC (Mutation error)
87,C=CC=CC=C (Mutation error)
87,C=CC=CC=CCC=C (Mutation error)
88,C=CC=CC=CC=CC (Mutation error)
88,C=C=CC=CC=CC=C (Mutation error)
88,C=CC=CC=C (Mutation error)
89,C=CC=CC=C (Mutation error)
89,C=CC=CC=CCCC=C (Mutation error)
89,C=CC=CC=CC=C(C)CC (Mutation error)
90,C=C=CC=CC=CC=C (Mutation error)
90,C=CC=CC=C (Mutation error)
90,C=CC=CC=CC=C(C)C (Mutation error)
90,C=CC=CC=CCCCC=C (Mutation error)
90,C=CC=CC=CC(C)(C)CC=C (Mutation error)
91,C=C=CC=CC=CC=C (Mutation error)
91,C=CC=CC=C (Mutation error)
91,C=CC=CC=CCCC=C (Mutation error)
91,C=CC=CC=CC(C)(C)C=C (Mutation error)
91,C=CC=CCC=CC=C (Mutation error)
91,C=CC=CC=CCCCC=C (Mutation error)
91,C=CC=CC=CC(C)CCC=C (Mutation error)
91,C=CC=CC(C)C=CC=C (Mutation error)
91,C=CC=CC=CCC=CC (Mutation error)
91,C=CC=CC=CC(=C)C (Mutation error)
91,C=CC=CC=CCC=CCC (Mutation error)
