smiles,n_success_mut,n_failures_mut,rediscovery_C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,total,obj_computation_time,history_data
C=CC(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C(=C)C(=C)C(=C)C=C,18,56,0.7101449275362319,0.7101449275362319,0.0003509521484375,C
C=CC(=C)CC(C)=C(C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5733333333333334,0.5733333333333334,0.00034618377685546875,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)CC(C(=C)C(=C)C(=C)C=C)=C(C)C,0,0,0.64,0.64,0.0003898143768310547,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C(CC)C(=C)C(=C)C(=C)C=C,2,1,0.7027027027027027,0.7027027027027027,0.00040721893310546875,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C(=C)C(=C)C,0,0,0.5753424657534246,0.5753424657534246,0.0003230571746826172,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(CC)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.6621621621621622,0.6621621621621622,0.00038933753967285156,
C=CC(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C(=CC)C(=C)C(=C)C=C,0,0,0.5714285714285714,0.5714285714285714,0.0003695487976074219,
C=C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C(=C)C(=C)C=C,0,0,0.5921052631578947,0.5921052631578947,0.0003600120544433594,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(C)C,0,0,0.6216216216216216,0.6216216216216216,0.00037217140197753906,
C=CC(=C)C(=C)C(=C)C=CCC(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5866666666666667,0.5866666666666667,0.00035119056701660156,
C=C(C=CC)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CC,0,0,0.5733333333333334,0.5733333333333334,0.00035071372985839844,
C=CC(=C)C(=C)C(=C)C(=C)CC(=C)C(=C)C(=C)C(=C)C=C,9,4,0.6376811594202898,0.6376811594202898,0.00031495094299316406,
C=C(C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CCC,0,0,0.5789473684210527,0.5789473684210527,0.0003676414489746094,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(C(=C)C(=C)C(=C)C=CC)=C(C)C,0,0,0.5769230769230769,0.5769230769230769,0.0003883838653564453,
C=CC(=C)CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CC,0,0,0.5974025974025974,0.5974025974025974,0.00039124488830566406,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC(=C)C)C1=CC1=C,0,0,0.5769230769230769,0.5769230769230769,0.00041604042053222656,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C)C(=C)C,10,16,0.6944444444444444,0.6944444444444444,0.0003914833068847656,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C)=C(C)C(=C)C=C,5,5,0.6428571428571429,0.6428571428571429,0.0003292560577392578,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)CC,9,23,0.7083333333333334,0.7083333333333334,0.00038695335388183594,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C(C)CCC,0,0,0.6133333333333333,0.6133333333333333,0.0003657341003417969,
C=CC=C(C(=C)C(=C)C=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.6338028169014085,0.6338028169014085,0.0003294944763183594,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C(=C)C(=C)C(=C)C(C)C,0,0,0.6025641025641025,0.6025641025641025,0.0004050731658935547,
C=CCC(C)=C(C(=C)C(=C)C=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.6133333333333333,0.6133333333333333,0.00036787986755371094,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C=C)=C(C)C=C,0,0,0.6388888888888888,0.6388888888888888,0.0003485679626464844,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C=C(C(=C)C(=C)C=C)C(C)C,0,0,0.5733333333333334,0.5733333333333334,0.0003540515899658203,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)CC(=C)C(=C)C(=C)C(=C)C=CC,0,0,0.5714285714285714,0.5714285714285714,0.00036644935607910156,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C=C(C)C=C,0,0,0.5714285714285714,0.5714285714285714,0.00036025047302246094,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CC(C)C,50,38,0.6438356164383562,0.6438356164383562,0.0003681182861328125,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C)C(=C)C,0,0,0.625,0.625,0.0003447532653808594,
C=CC(=C)CC(CC)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5714285714285714,0.5714285714285714,0.0003666877746582031,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C(=C)C=C,35,66,0.7101449275362319,0.7101449275362319,0.0003516674041748047,
C=CCC=C(CC)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.631578947368421,0.631578947368421,0.0003933906555175781,
C=CC(=C)C(=C)C(=C)C(=C)CC(=C)C(=C)C(=C)C(=C)C(=C)C=C(C)C,0,0,0.5769230769230769,0.5769230769230769,0.0003914833068847656,
C=CCC(=C)C(=C)C(=C)C(C(=C)C(=C)C(=C)C(=C)C(=C)C=C)=C(C)C,0,0,0.5769230769230769,0.5769230769230769,0.0003914833068847656,
C=CC(=C)C(=C)CC(=C)C(=C)C(=CC)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5714285714285714,0.5714285714285714,0.0003600120544433594,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CC(C)C,13,13,0.5753424657534246,0.5753424657534246,0.0003314018249511719,
C=CCC(C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,1,0.684931506849315,0.684931506849315,0.00039577484130859375,
C=C(C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C(C)CC,0,0,0.6025641025641025,0.6025641025641025,0.0004069805145263672,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C(C=C)C=C,0,0,0.6338028169014085,0.6338028169014085,0.0003333091735839844,
C=CC(C)=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C,0,0,0.5753424657534246,0.5753424657534246,0.00032258033752441406,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=CC,32,95,0.7352941176470589,0.7352941176470589,0.000347137451171875,
C=CC(=C)C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5857142857142857,0.5857142857142857,0.00029754638671875,
C=CCCC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,9,30,0.704225352112676,0.704225352112676,0.0003619194030761719,
C=CC(=C)CC(=C)C(=C)C(=C)CC(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5714285714285714,0.5714285714285714,0.00036525726318359375,
C=CC(=C)C(=C)C(=C)C(=C)C(CC)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5945945945945946,0.5945945945945946,0.0003638267517089844,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,1.0,1.0,0.0003762245178222656,
C#CC(=C)CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.6164383561643836,0.6164383561643836,0.0003445148468017578,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(CC)C(=C)C(=C)C=C,0,0,0.5945945945945946,0.5945945945945946,0.0003516674041748047,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C)=C=C(C=C)CC,0,0,0.5921052631578947,0.5921052631578947,0.0003733634948730469,
C=CC(=C)C(=C)C(=C)CC(=C)C(C(=C)C(=C)C(=C)C(=C)C=C)=C(C)CC,0,0,0.575,0.575,0.00040841102600097656,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(C(=C)C(=C)C(=C)C=C)=C(C)C,34,74,0.7142857142857143,0.7142857142857143,0.0003731250762939453,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C(=C)C(=C)CCC,0,0,0.5949367088607594,0.5949367088607594,0.00040602684020996094,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C=C,46,232,0.5833333333333334,0.5833333333333334,0.00019025802612304688,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C(=C)C(=C)C)=C(C)C,0,0,0.6266666666666667,0.6266666666666667,0.00038361549377441406,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CC(=C)C(=C)C(=C)C(C)C,0,0,0.6025641025641025,0.6025641025641025,0.0004062652587890625,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(C(=C)C(=C)C(=C)C=C)=C1C#C1,0,0,0.6805555555555556,0.6805555555555556,0.0004069805145263672,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C(=C)C(=C)C(=C)C,0,0,0.6438356164383562,0.6438356164383562,0.0003731250762939453,
C=C=CC=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.6301369863013698,0.6301369863013698,0.0003600120544433594,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C(CCC)C(=C)C(=C)C=C,0,0,0.631578947368421,0.631578947368421,0.0003917217254638672,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=CC(=C)C)C(=C)C(=C)C=C,6,6,0.6619718309859155,0.6619718309859155,0.0003573894500732422,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=CC(=C)CCC)C(=C)C(=C)C=C,0,0,0.6103896103896104,0.6103896103896104,0.00039005279541015625,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(C)=C(C)C(=C)C(=C)C=C,0,0,0.5974025974025974,0.5974025974025974,0.00037932395935058594,
C=CCC(=C)C(=C)C(=C)C(=C)C(C(=C)C(=C)C(=C)C(=C)C=C)=C(C)C,0,0,0.5769230769230769,0.5769230769230769,0.000392913818359375,
C=CC(=C)C(=C)C(=CC)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C,0,0,0.6438356164383562,0.6438356164383562,0.0003705024719238281,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C)=CC,33,44,0.5942028985507246,0.5942028985507246,0.0002887248992919922,
C=C=C(C)CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5945945945945946,0.5945945945945946,0.00034546852111816406,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C(C)C,30,46,0.5942028985507246,0.5942028985507246,0.00029206275939941406,
C=CCC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C=C)=CC,0,0,0.5714285714285714,0.5714285714285714,0.0003693103790283203,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CC(C)C=C,0,0,0.6164383561643836,0.6164383561643836,0.00034356117248535156,
C=CC(=C)C(=C)C(=C)C(=CC)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CCC,0,0,0.5949367088607594,0.5949367088607594,0.00039887428283691406,
C=CC(=C)C(=C)C(=C)C(=C)C(C(=C)C(=C)C(=C)C(=C)C=C)=C(C)C,25,75,0.7142857142857143,0.7142857142857143,0.0003712177276611328,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C,63,197,0.7230769230769231,0.7230769230769231,0.0003094673156738281,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CC(=C)CC(C)C,0,0,0.5769230769230769,0.5769230769230769,0.0003955364227294922,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C1=CCCC1,0,0,0.6025641025641025,0.6025641025641025,0.00041031837463378906,
C=CC(=CC)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=CC,0,0,0.5714285714285714,0.5714285714285714,0.0003669261932373047,
C=C(C=CC)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)CC,0,0,0.575,0.575,0.0004024505615234375,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C)C(=C)C(=C)C=C,0,0,0.6197183098591549,0.6197183098591549,0.0003249645233154297,
C=CCC(=C)C(=C)CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.6133333333333333,0.6133333333333333,0.0003681182861328125,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CC,40,63,0.7647058823529411,0.7647058823529411,0.00036835670471191406,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(CC)C(=C)C,0,0,0.6666666666666666,0.6666666666666666,0.0004138946533203125,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)CCC,0,0,0.68,0.68,0.0004062652587890625,
C=CC(=C)C(=C)C(=C)C(=C)CC(C)CC(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5714285714285714,0.5714285714285714,0.0003712177276611328,
C=CC#CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.704225352112676,0.704225352112676,0.0003712177276611328,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(CC)C(=C)C(=C)C,0,0,0.6233766233766234,0.6233766233766234,0.0004067420959472656,
C=CC(=C)C(=C)C(=C)C(=C)CCC(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.6805555555555556,0.6805555555555556,0.00036334991455078125,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(C=C)=C(C)C(=C)C(=C)C=C,0,0,0.6388888888888888,0.6388888888888888,0.00035262107849121094,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C=C)C(C)C,0,0,0.6,0.6,0.00037550926208496094,
C=CCC(=C)C(=CC)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.6133333333333333,0.6133333333333333,0.00036144256591796875,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CC(=CC)C(=C)C(=C)CC,0,0,0.575,0.575,0.0003972053527832031,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C(C=C)=CC)=C(C)C,0,0,0.5974025974025974,0.5974025974025974,0.00038051605224609375,
C=CC(=C)C(=C)C(=C)C(=CC)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C)C,0,0,0.6025641025641025,0.6025641025641025,0.0004057884216308594,
C=CC=C(C(=C)C(=C)C(=C)C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5945945945945946,0.5945945945945946,0.00034737586975097656,
C=CC(=C)C(=C)C(=C)C(=C)CC(C(=C)C(=C)C(=C)C=C)=C(C)C=C,0,0,0.5714285714285714,0.5714285714285714,0.0003743171691894531,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CC=C(C)C,0,0,0.5945945945945946,0.5945945945945946,0.0003504753112792969,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CC(C(=C)C=C)=C(C)C,0,0,0.5733333333333334,0.5733333333333334,0.0003476142883300781,
C=CC(=C)C(=C)C(=C)C(=C)CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C,0,0,0.6216216216216216,0.6216216216216216,0.00036644935607910156,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=CC=CCC,0,0,0.5844155844155844,0.5844155844155844,0.00037097930908203125,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C(C)C(=C)C(C=C)=CC,0,0,0.5714285714285714,0.5714285714285714,0.0003681182861328125,
C=CC(=C)C(=C)C(=C)CC(C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5945945945945946,0.5945945945945946,0.0003540515899658203,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C=C)=CC(C)C,0,0,0.5945945945945946,0.5945945945945946,0.0003566741943359375,
C=CC(=C)C(=C)C=C(C(=C)C(=C)C(=C)C)C(=C)C(=C)C(=C)C=C,0,0,0.5733333333333334,0.5733333333333334,0.0003485679626464844,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C1=CCC1C=C,0,0,0.5844155844155844,0.5844155844155844,0.0003864765167236328,
C=CCC(=C)C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.6081081081081081,0.6081081081081081,0.00034880638122558594,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)CC(=C)C(=C)C(=C)C(=C)C(=C)CC,0,0,0.5974025974025974,0.5974025974025974,0.00038909912109375,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CCC)C(=C)C(=C)C=C,0,0,0.6805555555555556,0.6805555555555556,0.0003571510314941406,
C=C(C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C#CC,0,0,0.5789473684210527,0.5789473684210527,0.0003662109375,
C=CCC(=C)C(C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5733333333333334,0.5733333333333334,0.00034880638122558594,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C=C)=C(C)C,0,0,0.6428571428571429,0.6428571428571429,0.0003311634063720703,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(CCC)C(=C)C(=C)C=C,0,0,0.5714285714285714,0.5714285714285714,0.00036525726318359375,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CC(C)(CC)CC,0,0,0.5802469135802469,0.5802469135802469,0.0004374980926513672,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C=C(C(=C)C(=C)C=C)C(=C)C(C)(C)C,0,0,0.5822784810126582,0.5822784810126582,0.00041604042053222656,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C1=CCCC1C,0,0,0.5875,0.5875,0.0004410743713378906,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C(C)=CC,0,0,0.5974025974025974,0.5974025974025974,0.00038552284240722656,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C(=C)C)=C(C)CC,0,0,0.5789473684210527,0.5789473684210527,0.0003650188446044922,
C=CC(=C)CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,1,2,0.782608695652174,0.782608695652174,0.0003864765167236328,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C1=C(C)C1,0,0,0.5753424657534246,0.5753424657534246,0.00035119056701660156,
C=CCCC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,2,1,0.6338028169014085,0.6338028169014085,0.0003299713134765625,
C=CC(=C)C(=C)C(=C)C(=C)C(C(=C)C(=C)C(=C)C=C)=C(C)CC,0,0,0.6164383561643836,0.6164383561643836,0.0003452301025390625,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C#CC,0,0,0.5915492957746479,0.5915492957746479,0.00031256675720214844,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CCC)CC,0,0,0.6133333333333333,0.6133333333333333,0.0003662109375,
C=CC(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C(C(=C)C(=C)C=C)=C(C)C,0,0,0.5769230769230769,0.5769230769230769,0.0003859996795654297,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)CC,0,0,0.6621621621621622,0.6621621621621622,0.0003833770751953125,
C=CCC(CC)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5921052631578947,0.5921052631578947,0.0003693103790283203,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C(=C)C=CC,0,0,0.5714285714285714,0.5714285714285714,0.0003628730773925781,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(CCC)C(=C)C,0,0,0.5769230769230769,0.5769230769230769,0.000385284423828125,
C=C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C,0,0,0.5972222222222222,0.5972222222222222,0.00032329559326171875,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)CCCC,7,11,0.7027027027027027,0.7027027027027027,0.0004093647003173828,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)CC(=C)CC,0,0,0.6363636363636364,0.6363636363636364,0.0004055500030517578,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C(=C)C(=C)C(C)(C)C,0,0,0.5875,0.5875,0.0004260540008544922,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=CC)C(=C)C=C(C)C,0,0,0.5974025974025974,0.5974025974025974,0.00038695335388183594,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C)C(=C)C=C,29,12,0.6901408450704225,0.6901408450704225,0.000362396240234375,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(C)(C)C(=C)C=C,0,0,0.6712328767123288,0.6712328767123288,0.000385284423828125,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)CC(=C)C(=C)C(=CC)C(=C)C=C,0,0,0.5714285714285714,0.5714285714285714,0.0003635883331298828,
C=CCC(=C)C(=C)C(=C)C(=C)CC(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.5714285714285714,0.5714285714285714,0.0003726482391357422,
C=CC(C=C)CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C,0,0,0.5769230769230769,0.5769230769230769,0.0003910064697265625,
C=CC(=C)C(=C)C(=C)C(=C)C(=C)C=CC(C)C(=C)C(=C)C(=C)C=C,0,0,0.5921052631578947,0.5921052631578947,0.00036787986755371094,
C=CC(=C)C(=C)C(=C)C=CC(=C)C(=C)C(=C)C(=C)C(=C)C=C,0,0,0.6338028169014085,0.6338028169014085,0.0003345012664794922,
