rediscovery_C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C_mean,rediscovery_C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C_med,rediscovery_C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C_min,rediscovery_C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C_max,rediscovery_C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0002422332763671875,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0008282661437988281,0,0,1,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0.0035636425018310547,0,0,2,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.008491039276123047,0,0,18,0,0,0,0,0
0.004098360655737705,0.0,0.0,0.03278688524590164,0.010843243078133568,0.004098360655737705,0.0,0.0,0.03278688524590164,0.010843243078133568,7,3,0.013589859008789062,0,0,8,0,0,0,0,0
0.009095494669265161,0.0,0.0,0.045454545454545456,0.01679201102169412,0.009095494669265161,0.0,0.0,0.045454545454545456,0.01679201102169412,12,5,0.020591020584106445,0,0,10,0,0,0,0,0
0.009998958351348489,0.0,0.0,0.047619047619047616,0.018067958345681968,0.009998958351348489,0.0,0.0,0.047619047619047616,0.018067958345681968,20,8,0.03166389465332031,0,0,23,0,0,0,0,0
0.010482056669737424,0.0,0.0,0.047619047619047616,0.0180395303175539,0.010482056669737424,0.0,0.0,0.047619047619047616,0.0180395303175539,30,10,0.044875144958496094,0,0,11,0,0,0,0,0
0.012951825313242469,0.0,0.0,0.08108108108108109,0.021183850990989905,0.012951825313242469,0.0,0.0,0.08108108108108109,0.021183850990989905,40,10,0.06753158569335938,0,0,37,0,0,0,0,0
0.013811956360505343,0.0,0.0,0.08108108108108109,0.020663245528942244,0.013811956360505343,0.0,0.0,0.08108108108108109,0.020663245528942244,50,10,0.09360313415527344,0,0,53,0,0,0,0,0
0.01696607156858687,0.0,0.0,0.08695652173913043,0.023309632131589857,0.01696607156858687,0.0,0.0,0.08695652173913043,0.023309632131589857,60,10,0.10701990127563477,0,0,3,0,0,0,0,0
0.018793862888981678,0.0,0.0,0.08695652173913043,0.023428386431822743,0.018793862888981678,0.0,0.0,0.08695652173913043,0.023428386431822743,70,10,0.12133479118347168,0,0,9,0,0,0,0,0
0.02089702646714741,0.01282051282051282,0.0,0.08695652173913043,0.023681590462317326,0.02089702646714741,0.01282051282051282,0.0,0.08695652173913043,0.023681590462317326,80,10,0.13454985618591309,0,0,7,0,0,0,0,0
0.022193490834077113,0.014705882352941176,0.0,0.08695652173913043,0.023227015938313826,0.022193490834077113,0.014705882352941176,0.0,0.08695652173913043,0.023227015938313826,90,10,0.1490788459777832,0,0,8,0,0,0,0,0
0.02325275188458213,0.014705882352941176,0.0,0.08695652173913043,0.0242647937659852,0.02325275188458213,0.014705882352941176,0.0,0.08695652173913043,0.0242647937659852,100,10,0.16553139686584473,0,0,12,0,0,0,0,0
0.02474292756347773,0.02631578947368421,0.0,0.08695652173913043,0.024621046938201104,0.02474292756347773,0.02631578947368421,0.0,0.08695652173913043,0.024621046938201104,110,10,0.18092107772827148,0,0,10,0,0,0,0,0
0.026776001502310864,0.02631578947368421,0.0,0.08955223880597014,0.026371133634262217,0.026776001502310864,0.02631578947368421,0.0,0.08955223880597014,0.026371133634262217,120,10,0.19247770309448242,0,0,0,0,0,0,0,0
0.028606355708005477,0.02702702702702703,0.0,0.08955223880597014,0.027132298624343573,0.028606355708005477,0.02702702702702703,0.0,0.08955223880597014,0.027132298624343573,130,10,0.20751547813415527,0,0,6,0,0,0,0,0
0.03052455656938073,0.028985507246376812,0.0,0.109375,0.0284081924647415,0.03052455656938073,0.028985507246376812,0.0,0.109375,0.0284081924647415,140,10,0.21997666358947754,0,0,6,0,0,0,0,0
0.031669708842615676,0.03125,0.0,0.109375,0.028460317091518375,0.031669708842615676,0.03125,0.0,0.109375,0.028460317091518375,150,10,0.23606300354003906,0,0,5,0,0,0,0,0
0.03350862483976422,0.03614457831325301,0.0,0.109375,0.02889796922335724,0.03350862483976422,0.03614457831325301,0.0,0.109375,0.02889796922335724,160,10,0.2550060749053955,0,0,12,0,0,0,0,0
0.034246734782310974,0.036585365853658534,0.0,0.109375,0.02908110561562295,0.034246734782310974,0.036585365853658534,0.0,0.109375,0.02908110561562295,170,10,0.2679424285888672,0,0,3,0,0,0,0,0
0.03552637218167889,0.0375,0.0,0.109375,0.029258099183809668,0.03552637218167889,0.0375,0.0,0.109375,0.029258099183809668,180,10,0.2837049961090088,0,0,8,0,0,0,0,0
0.03602877927693058,0.0375,0.0,0.109375,0.029281674139190115,0.03602877927693058,0.0375,0.0,0.109375,0.029281674139190115,190,10,0.30237317085266113,0,0,15,0,0,0,0,0
0.03712692464177771,0.038461538461538464,0.0,0.109375,0.029442964841384558,0.03712692464177771,0.038461538461538464,0.0,0.109375,0.029442964841384558,200,10,0.31496691703796387,0,0,3,0,0,0,0,0
0.03774696738213648,0.03896103896103896,0.0,0.109375,0.029474348982985298,0.03774696738213648,0.03896103896103896,0.0,0.109375,0.029474348982985298,210,10,0.3388023376464844,0,0,27,0,0,0,0,0
0.039062873560785506,0.03896103896103896,0.0,0.109375,0.029753046275273257,0.039062873560785506,0.03896103896103896,0.0,0.109375,0.029753046275273257,220,10,0.3537321090698242,0,0,9,0,0,0,0,0
0.040028581072780456,0.039473684210526314,0.0,0.14705882352941177,0.030678101814423153,0.040028581072780456,0.039473684210526314,0.0,0.14705882352941177,0.030678101814423153,230,10,0.3711545467376709,0,0,13,0,0,0,0,0
0.04027296336569567,0.039473684210526314,0.0,0.14705882352941177,0.03063006023525798,0.04027296336569567,0.039473684210526314,0.0,0.14705882352941177,0.03063006023525798,240,10,0.3874332904815674,0,0,9,0,0,0,0,0
0.040521783522506044,0.039473684210526314,0.0,0.14705882352941177,0.030651806480852826,0.040521783522506044,0.039473684210526314,0.0,0.14705882352941177,0.030651806480852826,250,10,0.403836727142334,0,0,9,0,0,0,0,0
0.04113739067812789,0.04,0.0,0.14705882352941177,0.03075054494432516,0.04113739067812789,0.04,0.0,0.14705882352941177,0.03075054494432516,260,10,0.42499375343322754,0,0,17,0,0,0,0,0
0.04175704629508807,0.04,0.0,0.171875,0.03152340932544228,0.04175704629508807,0.04,0.0,0.171875,0.03152340932544228,270,10,0.44750070571899414,0,0,18,0,0,0,0,0
0.04220573489694363,0.04,0.0,0.171875,0.03205418038519188,0.04220573489694363,0.04,0.0,0.171875,0.03205418038519188,280,10,0.4709024429321289,0,0,20,0,0,0,0,0
0.04304974605642492,0.04,0.0,0.171875,0.03244035909542081,0.04304974605642492,0.04,0.0,0.171875,0.03244035909542081,290,10,0.48557281494140625,0,0,7,0,0,0,0,0
0.04408698805057261,0.04,0.0,0.171875,0.03307068047071773,0.04408698805057261,0.04,0.0,0.171875,0.03307068047071773,300,10,0.5011732578277588,0,0,10,0,0,0,0,0
0.04539517853858804,0.04054054054054054,0.0,0.18461538461538463,0.03423255665167202,0.04539517853858804,0.04054054054054054,0.0,0.18461538461538463,0.03423255665167202,310,10,0.5189533233642578,0,0,11,0,0,0,0,0
0.04564247760911868,0.04054054054054054,0.0,0.18461538461538463,0.03432982282283572,0.04564247760911868,0.04054054054054054,0.0,0.18461538461538463,0.03432982282283572,320,10,0.5385732650756836,0,0,16,0,0,0,0,0
0.04666153579377215,0.04054054054054054,0.0,0.18461538461538463,0.03495499190894449,0.04666153579377215,0.04054054054054054,0.0,0.18461538461538463,0.03495499190894449,330,10,0.5522356033325195,0,0,3,0,0,0,0,0
0.0479171275057532,0.0410958904109589,0.0,0.18461538461538463,0.03599862829489414,0.0479171275057532,0.0410958904109589,0.0,0.18461538461538463,0.03599862829489414,340,10,0.5728943347930908,0,0,19,0,0,0,0,0
0.04841681850759387,0.0410958904109589,0.0,0.18461538461538463,0.03603587616318429,0.04841681850759387,0.0410958904109589,0.0,0.18461538461538463,0.03603587616318429,350,10,0.5972509384155273,0,0,16,0,0,0,0,0
0.04959348962053882,0.041666666666666664,0.0,0.18461538461538463,0.036728212807283216,0.04959348962053882,0.041666666666666664,0.0,0.18461538461538463,0.036728212807283216,360,10,0.6202723979949951,0,0,17,0,0,0,0,0
0.050253865819454104,0.041666666666666664,0.0,0.18461538461538463,0.036945305072432426,0.050253865819454104,0.041666666666666664,0.0,0.18461538461538463,0.036945305072432426,370,10,0.6395792961120605,0,0,10,0,0,0,0,0
0.0512844776294698,0.041666666666666664,0.0,0.18461538461538463,0.037504016728713514,0.0512844776294698,0.041666666666666664,0.0,0.18461538461538463,0.037504016728713514,380,10,0.7914111614227295,0,0,11,0,0,0,0,0
0.05199818617794097,0.041666666666666664,0.0,0.18461538461538463,0.037844742946818395,0.05199818617794097,0.041666666666666664,0.0,0.18461538461538463,0.037844742946818395,390,10,0.8077356815338135,0,0,4,0,0,0,0,0
0.052986059548424495,0.04285714285714286,0.0,0.18461538461538463,0.03824249548928729,0.052986059548424495,0.04285714285714286,0.0,0.18461538461538463,0.03824249548928729,400,10,0.8253734111785889,0,0,7,0,0,0,0,0
0.05357276504348099,0.04285714285714286,0.0,0.18461538461538463,0.03822161227014093,0.05357276504348099,0.04285714285714286,0.0,0.18461538461538463,0.03822161227014093,410,10,0.8504772186279297,0,0,11,0,0,0,0,0
0.05451138036330717,0.04411764705882353,0.0,0.18461538461538463,0.03862502896481201,0.05451138036330717,0.04411764705882353,0.0,0.18461538461538463,0.03862502896481201,420,10,0.8699297904968262,0,0,7,0,0,0,0,0
0.05527813194748619,0.047619047619047616,0.0,0.18461538461538463,0.038880875797077996,0.05527813194748619,0.047619047619047616,0.0,0.18461538461538463,0.038880875797077996,430,10,0.8928523063659668,0,0,14,0,0,0,0,0
0.055728026104874574,0.05,0.0,0.18461538461538463,0.03907753074588142,0.055728026104874574,0.05,0.0,0.18461538461538463,0.03907753074588142,440,10,0.9136192798614502,0,0,9,0,0,0,0,0
0.05648425561443115,0.05128205128205128,0.0,0.18461538461538463,0.039264409077373365,0.05648425561443115,0.05128205128205128,0.0,0.18461538461538463,0.039264409077373365,450,10,0.9357643127441406,0,0,14,0,0,0,0,0
0.05681820390479398,0.05128205128205128,0.0,0.18461538461538463,0.03920097595125251,0.05681820390479398,0.05128205128205128,0.0,0.18461538461538463,0.03920097595125251,460,10,0.9570798873901367,0,0,18,0,0,0,0,0
0.05721027267316289,0.05128205128205128,0.0,0.18461538461538463,0.03923193004294877,0.05721027267316289,0.05128205128205128,0.0,0.18461538461538463,0.03923193004294877,470,10,0.9841842651367188,0,0,14,0,0,0,0,0
0.0579478117994848,0.05194805194805195,0.0,0.18461538461538463,0.03964139326691132,0.0579478117994848,0.05194805194805195,0.0,0.18461538461538463,0.03964139326691132,480,10,1.0041563510894775,0,0,18,0,0,0,0,0
0.05857726637732898,0.05263157894736842,0.0,0.18461538461538463,0.04011160140187517,0.05857726637732898,0.05263157894736842,0.0,0.18461538461538463,0.04011160140187517,490,10,1.0264818668365479,0,0,13,0,0,0,0,0
0.058838914245656966,0.05263157894736842,0.0,0.18461538461538463,0.040099422687672234,0.058838914245656966,0.05263157894736842,0.0,0.18461538461538463,0.040099422687672234,500,10,1.0461933612823486,0,0,7,0,0,0,0,0
0.05937447838032218,0.05333333333333334,0.0,0.18461538461538463,0.04027517152971801,0.05937447838032218,0.05333333333333334,0.0,0.18461538461538463,0.04027517152971801,510,10,1.0670342445373535,0,0,12,0,0,0,0,0
0.059617483052874724,0.05333333333333334,0.0,0.18461538461538463,0.04018448262444117,0.059617483052874724,0.05333333333333334,0.0,0.18461538461538463,0.04018448262444117,520,10,1.1167786121368408,0,0,8,0,0,0,0,0
0.05982548977011514,0.05333333333333334,0.0,0.18461538461538463,0.040029706695814404,0.05982548977011514,0.05333333333333334,0.0,0.18461538461538463,0.040029706695814404,530,10,1.1417882442474365,0,0,14,0,0,0,0,0
0.06023509600060365,0.05405405405405406,0.0,0.18461538461538463,0.040235554545955815,0.06023509600060365,0.05405405405405406,0.0,0.18461538461538463,0.040235554545955815,540,10,1.1743130683898926,0,0,27,0,0,0,0,0
0.0605162190704461,0.05405405405405406,0.0,0.18461538461538463,0.040393817056196504,0.0605162190704461,0.05405405405405406,0.0,0.18461538461538463,0.040393817056196504,550,10,1.1978082656860352,0,0,15,0,0,0,0,0
0.06109029799635457,0.05405405405405406,0.0,0.18461538461538463,0.04070962727594656,0.06109029799635457,0.05405405405405406,0.0,0.18461538461538463,0.04070962727594656,560,10,1.2222557067871094,0,0,16,0,0,0,0,0
0.06183000405618898,0.0547945205479452,0.0,0.18461538461538463,0.04116374231955824,0.06183000405618898,0.0547945205479452,0.0,0.18461538461538463,0.04116374231955824,570,10,1.2541468143463135,0,0,40,0,0,0,0,0
0.062257095410076416,0.05555555555555555,0.0,0.18461538461538463,0.04120039875749067,0.062257095410076416,0.05555555555555555,0.0,0.18461538461538463,0.04120039875749067,580,10,1.2775182723999023,0,0,9,0,0,0,0,0
0.06263849838452974,0.056338028169014086,0.0,0.18461538461538463,0.04133660659998443,0.06263849838452974,0.056338028169014086,0.0,0.18461538461538463,0.04133660659998443,590,10,1.3027007579803467,0,0,10,0,0,0,0,0
